Id,Actual,Prediction
306,Positive,Positive
307,Neutral,Neutral
308,Negative,Neutral
309,Negative,Neutral
310,Neutral,Neutral
311,Neutral,Neutral
312,Neutral,Neutral
313,Neutral,Neutral
314,Positive,Neutral
315,Negative,Neutral
316,Neutral,Neutral
317,Positive,Neutral
318,Positive,Neutral
319,Neutral,Neutral
320,Neutral,Neutral
321,Positive,Neutral
322,Positive,Neutral
323,Positive,Neutral
324,Positive,Neutral
325,Negative,Neutral
326,Positive,Neutral
327,Neutral,Neutral
328,Positive,Neutral
329,Positive,Neutral
330,Positive,Neutral
331,Neutral,Neutral
332,Neutral,Neutral
333,Neutral,Neutral
334,Negative,Neutral
335,Negative,Neutral
336,Negative,Neutral
337,Neutral,Neutral
338,Neutral,Neutral
339,Neutral,Neutral
340,Neutral,Neutral
341,Neutral,Neutral
342,Positive,Negative
343,Neutral,Neutral
344,Neutral,Neutral
345,Neutral,Neutral
346,Negative,Neutral
347,Negative,Neutral
348,Positive,Neutral
349,Neutral,Neutral
350,Negative,Neutral
351,Negative,Neutral
352,Negative,Neutral
353,Neutral,Neutral
354,Neutral,Positive
355,Neutral,Neutral
356,Negative,Neutral
357,Neutral,Neutral
358,Negative,Neutral
359,Neutral,Neutral
360,Positive,Neutral
361,Neutral,Neutral
362,Negative,Neutral
363,Neutral,Positive
364,Neutral,Neutral
365,Negative,Neutral
366,Neutral,Neutral
367,Neutral,Neutral
368,Neutral,Neutral
369,Positive,Neutral
370,Neutral,Neutral
371,Neutral,Neutral
372,Negative,Neutral
373,Negative,Neutral
374,Negative,Neutral
375,Neutral,Neutral
376,Neutral,Neutral
377,Neutral,Neutral
378,Negative,Neutral
379,Neutral,Neutral
380,Negative,Neutral
381,Negative,Neutral
382,Neutral,Neutral
383,Neutral,Positive
384,Negative,Neutral
385,Negative,Neutral
386,Positive,Neutral
387,Neutral,Neutral
388,Negative,Neutral
389,Neutral,Neutral
390,Negative,Negative
391,Positive,Neutral
392,Negative,Positive
393,Positive,Neutral
394,Positive,Neutral
395,Neutral,Neutral
396,Neutral,Neutral
397,Neutral,Neutral
398,Positive,Positive
399,Neutral,Neutral
400,Neutral,Neutral
401,Negative,Neutral
402,Negative,Neutral
403,Negative,Neutral
404,Negative,Neutral
405,Negative,Neutral
406,Negative,Neutral
407,Neutral,Neutral
408,Neutral,Neutral
409,Neutral,Neutral
410,Positive,Neutral
411,Positive,Neutral
412,Neutral,Neutral
413,Positive,Neutral
414,Neutral,Neutral
415,Neutral,Neutral
416,Negative,Neutral
417,Neutral,Neutral
418,Neutral,Neutral
419,Positive,Neutral
420,Neutral,Neutral
421,Neutral,Neutral
422,Negative,Neutral
423,Negative,Neutral
424,Negative,Neutral
425,Neutral,Neutral
426,Negative,Neutral
427,Neutral,Neutral
428,Negative,Neutral
429,Negative,Neutral
430,Negative,Neutral
431,Neutral,Neutral
432,Negative,Neutral
433,Neutral,Neutral
434,Negative,Neutral
435,Negative,Neutral
436,Neutral,Neutral
437,Neutral,Neutral
438,Negative,Negative
439,Neutral,Neutral
440,Neutral,Neutral
441,Neutral,Neutral
442,Neutral,Neutral
443,Neutral,Neutral
444,Neutral,Neutral
445,Neutral,Neutral
446,Negative,Neutral
447,Negative,Neutral
448,Negative,Neutral
449,Neutral,Neutral
450,Negative,Neutral
451,Positive,Positive
452,Negative,Neutral
453,Neutral,Neutral
454,Negative,Neutral
455,Neutral,Neutral
456,Neutral,Neutral
457,Neutral,Neutral
458,Negative,Neutral
459,Neutral,Neutral
460,Neutral,Neutral
461,Neutral,Neutral
462,Neutral,Neutral
463,Neutral,Neutral
464,Neutral,Neutral
465,Neutral,Neutral
466,Negative,Neutral
467,Neutral,Neutral
468,Negative,Neutral
469,Neutral,Neutral
470,Negative,Neutral
471,Positive,Neutral
472,Positive,Neutral
473,Neutral,Neutral
474,Neutral,Neutral
475,Negative,Neutral
476,Neutral,Neutral
477,Neutral,Neutral
478,Negative,Neutral
479,Neutral,Neutral
480,Neutral,Neutral
481,Positive,Neutral
482,Neutral,Neutral
483,Neutral,Neutral
484,Neutral,Neutral
485,Neutral,Neutral
486,Neutral,Neutral
487,Neutral,Neutral
488,Neutral,Neutral
489,Positive,Neutral
490,Neutral,Neutral
491,Neutral,Neutral
492,Neutral,Neutral
493,Negative,Neutral
494,Neutral,Positive
495,Neutral,Neutral
496,Neutral,Neutral
497,Neutral,Neutral
498,Neutral,Neutral
499,Neutral,Neutral
500,Neutral,Neutral
501,Neutral,Neutral
502,Neutral,Neutral
503,Negative,Neutral
504,Neutral,Neutral
505,Positive,Neutral
506,Neutral,Neutral
507,Positive,Neutral
508,Neutral,Neutral
509,Neutral,Neutral
510,Positive,Neutral
511,Neutral,Neutral
512,Neutral,Neutral
513,Neutral,Neutral
514,Positive,Neutral
515,Negative,Neutral
516,Neutral,Neutral
517,Neutral,Neutral
518,Neutral,Neutral
519,Neutral,Neutral
520,Neutral,Neutral
521,Positive,Neutral
522,Positive,Neutral
523,Positive,Neutral
524,Negative,Neutral
525,Positive,Neutral
526,Positive,Neutral
527,Neutral,Neutral
528,Neutral,Neutral
529,Neutral,Neutral
530,Neutral,Negative
531,Neutral,Neutral
532,Negative,Neutral
533,Neutral,Neutral
534,Neutral,Neutral
535,Neutral,Neutral
536,Positive,Neutral
537,Positive,Neutral
538,Neutral,Neutral
539,Negative,Neutral
540,Positive,Neutral
541,Positive,Neutral
542,Neutral,Neutral
543,Neutral,Neutral
544,Positive,Neutral
545,Neutral,Neutral
546,Positive,Neutral
547,Positive,Neutral
548,Neutral,Neutral
549,Neutral,Neutral
550,Positive,Neutral
551,Neutral,Neutral
552,Negative,Neutral
553,Neutral,Neutral
554,Neutral,Neutral
555,Negative,Negative
556,Positive,Neutral
557,Negative,Neutral
558,Positive,Neutral
559,Neutral,Neutral
560,Neutral,Neutral
561,Neutral,Neutral
562,Positive,Neutral
563,Neutral,Neutral
564,Neutral,Neutral
565,Neutral,Neutral
566,Neutral,Neutral
567,Negative,Neutral
568,Negative,Neutral
569,Neutral,Neutral
570,Negative,Neutral
571,Neutral,Neutral
572,Neutral,Neutral
573,Positive,Neutral
574,Neutral,Neutral
575,Neutral,Neutral
576,Negative,Neutral
577,Negative,Negative
578,Neutral,Neutral
579,Neutral,Neutral
580,Neutral,Neutral
581,Neutral,Neutral
582,Negative,Neutral
583,Negative,Neutral
584,Neutral,Neutral
585,Negative,Neutral
586,Neutral,Neutral
587,Neutral,Neutral
588,Negative,Neutral
589,Negative,Neutral
590,Negative,Neutral
591,Neutral,Neutral
592,Positive,Neutral
593,Neutral,Neutral
594,Negative,Neutral
595,Positive,Neutral
596,Negative,Neutral
597,Neutral,Neutral
598,Neutral,Neutral
599,Neutral,Neutral
600,Neutral,Neutral
601,Positive,Neutral
602,Neutral,Neutral
603,Positive,Neutral
604,Neutral,Neutral
605,Neutral,Neutral
606,Neutral,Neutral
607,Neutral,Neutral
608,Neutral,Neutral
609,Neutral,Neutral
610,Neutral,Neutral
611,Neutral,Neutral
612,Neutral,Neutral
613,Neutral,Neutral
614,Neutral,Neutral
615,Neutral,Neutral
616,Negative,Neutral
617,Negative,Neutral
618,Positive,Neutral
619,Neutral,Neutral
620,Neutral,Neutral
621,Neutral,Neutral
622,Neutral,Neutral
623,Positive,Neutral
624,Neutral,Neutral
625,Negative,Neutral
626,Neutral,Neutral
627,Negative,Neutral
628,Neutral,Neutral
629,Positive,Neutral
630,Negative,Neutral
631,Neutral,Neutral
632,Negative,Neutral
633,Negative,Neutral
634,Negative,Neutral
635,Positive,Neutral
636,Negative,Neutral
637,Negative,Neutral
638,Positive,Neutral
639,Negative,Neutral
640,Positive,Neutral
641,Positive,Neutral
642,Neutral,Neutral
643,Neutral,Neutral
644,Positive,Negative
645,Negative,Neutral
646,Neutral,Neutral
647,Neutral,Neutral
648,Negative,Neutral
649,Positive,Neutral
650,Negative,Neutral
651,Negative,Neutral
652,Negative,Neutral
653,Neutral,Neutral
654,Neutral,Neutral
655,Positive,Neutral
656,Positive,Neutral
657,Neutral,Neutral
658,Neutral,Neutral
659,Positive,Neutral
660,Negative,Neutral
661,Neutral,Neutral
662,Negative,Neutral
663,Neutral,Neutral
664,Positive,Neutral
665,Positive,Neutral
666,Positive,Neutral
667,Positive,Neutral
668,Neutral,Neutral
669,Negative,Neutral
670,Neutral,Neutral
671,Neutral,Neutral
672,Neutral,Neutral
673,Positive,Neutral
674,Neutral,Neutral
675,Negative,Neutral
676,Negative,Neutral
677,Neutral,Neutral
678,Neutral,Neutral
679,Positive,Neutral
680,Positive,Neutral
681,Positive,Neutral
682,Neutral,Neutral
683,Positive,Neutral
684,Neutral,Neutral
685,Positive,Neutral
686,Positive,Positive
687,Positive,Positive
688,Neutral,Neutral
689,Positive,Neutral
690,Negative,Neutral
691,Negative,Neutral
692,Positive,Neutral
693,Negative,Neutral
694,Negative,Neutral
695,Positive,Neutral
696,Neutral,Neutral
697,Negative,Neutral
698,Negative,Neutral
699,Negative,Neutral
700,Negative,Neutral
701,Negative,Neutral
702,Neutral,Neutral
703,Neutral,Neutral
704,Neutral,Neutral
705,Neutral,Neutral
706,Negative,Neutral
707,Neutral,Neutral
708,Negative,Neutral
709,Negative,Neutral
710,Negative,Neutral
711,Neutral,Negative
712,Negative,Neutral
713,Negative,Neutral
714,Neutral,Neutral
715,Neutral,Neutral
716,Negative,Neutral
717,Positive,Neutral
718,Positive,Neutral
719,Negative,Neutral
720,Neutral,Neutral
721,Neutral,Neutral
722,Positive,Neutral
723,Negative,Neutral
724,Negative,Neutral
725,Positive,Positive
726,Neutral,Neutral
727,Negative,Neutral
728,Negative,Neutral
729,Neutral,Neutral
730,Neutral,Neutral
731,Negative,Neutral
732,Negative,Neutral
733,Negative,Neutral
734,Positive,Neutral
735,Neutral,Neutral
736,Neutral,Neutral
737,Negative,Neutral
738,Neutral,Neutral
739,Negative,Neutral
740,Positive,Neutral
741,Positive,Neutral
742,Negative,Neutral
743,Negative,Neutral
744,Negative,Neutral
745,Positive,Neutral
746,Neutral,Neutral
747,Negative,Neutral
748,Negative,Neutral
749,Negative,Neutral
750,Positive,Neutral
751,Positive,Neutral
752,Positive,Neutral
753,Positive,Neutral
754,Neutral,Neutral
755,Neutral,Neutral
756,Negative,Neutral
757,Neutral,Neutral
758,Positive,Positive
759,Positive,Neutral
760,Neutral,Neutral
761,Positive,Positive
762,Negative,Neutral
763,Neutral,Neutral
764,Negative,Neutral
765,Positive,Neutral
766,Neutral,Neutral
767,Positive,Neutral
768,Neutral,Neutral
769,Neutral,Positive
770,Negative,Neutral
771,Negative,Neutral
772,Negative,Neutral
773,Negative,Neutral
774,Positive,Neutral
775,Neutral,Neutral
776,Positive,Neutral
777,Positive,Neutral
778,Neutral,Neutral
779,Negative,Neutral
780,Negative,Neutral
781,Negative,Neutral
782,Positive,Neutral
783,Negative,Neutral
784,Neutral,Neutral
785,Positive,Positive
786,Negative,Neutral
787,Neutral,Neutral
788,Positive,Neutral
789,Neutral,Neutral
790,Neutral,Neutral
791,Negative,Neutral
792,Positive,Neutral
793,Neutral,Neutral
794,Positive,Neutral
795,Negative,Neutral
796,Negative,Neutral
797,Positive,Neutral
798,Negative,Neutral
799,Negative,Neutral
800,Positive,Neutral
801,Negative,Negative
802,Positive,Neutral
803,Negative,Neutral
804,Neutral,Neutral
805,Neutral,Neutral
806,Neutral,Positive
807,Neutral,Positive
808,Positive,Neutral
809,Negative,Neutral
810,Negative,Neutral
811,Neutral,Neutral
812,Neutral,Neutral
813,Positive,Positive
814,Neutral,Neutral
815,Positive,Positive
816,Neutral,Positive
817,Positive,Positive
818,Positive,Neutral
819,Positive,Neutral
820,Neutral,Neutral
821,Positive,Neutral
822,Positive,Neutral
823,Positive,Positive
824,Neutral,Neutral
825,Negative,Neutral
826,Neutral,Neutral
827,Negative,Neutral
828,Neutral,Neutral
829,Positive,Positive
830,Positive,Positive
831,Positive,Neutral
832,Positive,Neutral
833,Positive,Neutral
834,Positive,Positive
835,Positive,Neutral
836,Positive,Neutral
837,Positive,Neutral
838,Positive,Neutral
839,Positive,Neutral
840,Neutral,Neutral
841,Positive,Neutral
842,Positive,Neutral
843,Positive,Neutral
844,Positive,Neutral
845,Positive,Neutral
846,Positive,Positive
847,Positive,Neutral
848,Neutral,Neutral
849,Positive,Neutral
850,Positive,Positive
851,Negative,Neutral
852,Positive,Neutral
853,Positive,Neutral
854,Positive,Neutral
855,Neutral,Neutral
856,Positive,Neutral
857,Positive,Neutral
858,Positive,Neutral
859,Positive,Neutral
860,Positive,Neutral
861,Positive,Neutral
862,Positive,Positive
863,Positive,Neutral
864,Positive,Neutral
865,Positive,Neutral
866,Positive,Neutral
867,Neutral,Neutral
868,Neutral,Neutral
869,Positive,Positive
870,Positive,Neutral
871,Positive,Positive
872,Positive,Negative
873,Neutral,Neutral
874,Negative,Neutral
875,Positive,Neutral
876,Negative,Neutral
877,Neutral,Neutral
878,Positive,Neutral
879,Positive,Neutral
880,Neutral,Neutral
881,Positive,Neutral
882,Neutral,Neutral
883,Positive,Neutral
884,Positive,Positive
885,Positive,Neutral
886,Positive,Positive
887,Positive,Neutral
888,Negative,Positive
889,Positive,Neutral
890,Negative,Neutral
891,Neutral,Neutral
892,Positive,Positive
893,Negative,Neutral
894,Neutral,Neutral
895,Neutral,Neutral
896,Negative,Neutral
897,Neutral,Neutral
898,Positive,Neutral
899,Positive,Positive
900,Positive,Neutral
901,Negative,Positive
902,Positive,Neutral
903,Neutral,Neutral
904,Positive,Positive
905,Neutral,Neutral
906,Positive,Neutral
907,Positive,Neutral
908,Neutral,Neutral
909,Neutral,Neutral
910,Neutral,Neutral
911,Neutral,Neutral
912,Positive,Positive
913,Negative,Neutral
914,Positive,Neutral
915,Neutral,Negative
916,Neutral,Neutral
917,Positive,Positive
918,Positive,Neutral
919,Positive,Neutral
920,Negative,Neutral
921,Positive,Neutral
922,Negative,Neutral
923,Neutral,Neutral
924,Positive,Positive
925,Positive,Neutral
926,Positive,Neutral
927,Negative,Neutral
928,Positive,Neutral
929,Positive,Neutral
930,Neutral,Neutral
931,Positive,Neutral
932,Positive,Neutral
933,Neutral,Neutral
934,Negative,Neutral
935,Positive,Neutral
936,Neutral,Neutral
937,Positive,Neutral
938,Neutral,Neutral
939,Positive,Neutral
940,Positive,Neutral
941,Positive,Neutral
942,Negative,Neutral
943,Positive,Neutral
944,Positive,Neutral
945,Neutral,Neutral
946,Negative,Positive
947,Positive,Neutral
948,Positive,Positive
949,Positive,Neutral
950,Positive,Neutral
951,Neutral,Neutral
952,Positive,Neutral
953,Positive,Neutral
954,Positive,Negative
955,Positive,Neutral
956,Neutral,Neutral
957,Positive,Neutral
958,Neutral,Positive
959,Positive,Neutral
960,Negative,Neutral
961,Positive,Neutral
962,Positive,Neutral
963,Positive,Neutral
964,Neutral,Neutral
965,Positive,Neutral
966,Positive,Neutral
967,Neutral,Positive
968,Positive,Positive
969,Neutral,Neutral
970,Neutral,Neutral
971,Positive,Neutral
972,Positive,Neutral
973,Positive,Neutral
974,Positive,Positive
975,Positive,Neutral
976,Positive,Neutral
977,Positive,Neutral
978,Positive,Neutral
979,Neutral,Neutral
980,Neutral,Neutral
981,Positive,Neutral
982,Negative,Neutral
983,Positive,Neutral
984,Positive,Neutral
985,Positive,Positive
986,Neutral,Neutral
987,Positive,Neutral
988,Negative,Neutral
989,Positive,Neutral
990,Neutral,Neutral
991,Positive,Neutral
992,Positive,Positive
993,Positive,Neutral
994,Negative,Neutral
995,Neutral,Neutral
996,Neutral,Neutral
997,Positive,Neutral
998,Neutral,Neutral
999,Positive,Positive
